    Vardas             Pavarde     ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
 Vardas157          Pavarde157       2       5       8       6       3       4       6       4       4      10       3       9       6       6       9       5
 Vardas158          Pavarde158       6       6       7       3       8       7       3       5       8       5       8       7      10       5       6       2
 Vardas159          Pavarde159      10       5      10       1       9       8       3       1       4       8      10       6       6       3       6       2
 Vardas160          Pavarde160       6       4       3       1       5       2       4       3       3       7       8       4       5      10       7       6
 Vardas161          Pavarde161       5       5       9       3       1       2      10       7       3      10       3       8       8       6       7       8
 Vardas162          Pavarde162       4       2       3       5       9       6       1       3       4       5       2       1       1       4       1       2
 Vardas163          Pavarde163       1       8       8       5       6       2       9       1       5      10       2       9       8       8       5       2
 Vardas164          Pavarde164       1       8       8       1       8       8      10       8       8       2       2       5       9       2       2       2
 Vardas165          Pavarde165      10       4       4       5       4       6       8      10       8       6       3       8       9       7       5       5
 Vardas166          Pavarde166       2       2       1      10       1       8       2       9       5       7       8       3       6       1       5       2
 Vardas167          Pavarde167       5       2      10       4       7      10       8       2       6       2      10       7       2       8       9       4
 Vardas168          Pavarde168       5       2       4       7       1       6       8       7       8       4       3       3       6       3      10       1
 Vardas169          Pavarde169      10       6      10      10       4       6       8       4       5       8       7       1       8       7       9       9
 Vardas170          Pavarde170       7       6       7       9       9       4       8       5       3       4       1      10       4       7       1       3
 Vardas171          Pavarde171       4       5       8       5       2       2       4       6       7       3       2       3       3       4       3      10
 Vardas172          Pavarde172       5       5       4       9      10       3       4      10       1       9       9       6       9       7       7      10
 Vardas173          Pavarde173       8       1       2      10       2       7      10       8       8       9       7       4       1       9      10       8
 Vardas174          Pavarde174       3       3       7       3       4       1       6       4       9      10       7      10       1       5       6      10
 Vardas175          Pavarde175       5       3       4       7       9       7       3       9       9       9       7       5       5       8       7       1
 Vardas176          Pavarde176       6       2       8       2       3       1       7      10       8       1       5      10       2       1       6      10
 Vardas177          Pavarde177       9       5       4       6       9       5       1       6       7       9       9       6       4       9       3      10
 Vardas178          Pavarde178       3       6       5      10       8      10       7       8       8       5       6       3       5       7       2       8
 Vardas179          Pavarde179       4       2       4       5       4       6       8       5       7       2       1       6       9       4       3       8
 Vardas180          Pavarde180      10       9       7       6       4       2      10       1       7       5       2       4       3       6       8       5
 Vardas181          Pavarde181      10       1       3       5       3      10       5       8       5      10       7       3       5       5      10       6
 Vardas182          Pavarde182       5       1       9       4       3       5       7       9       1       6       3       8       2       4       7       3
 Vardas183          Pavarde183       1       7       6      10       7       5      10       6       3      10       6       4       4       5       1       7
 Vardas184          Pavarde184       3       6       8       9      10       7       3       1       2       7       6       2       7       8       3       7
 Vardas185          Pavarde185       5       1       1       7      10       9       6       5       8       4       2       3      10      10       5       5
 Vardas186          Pavarde186       3      10       6       4       4       2      10       2       2       2       3       6       5       7       2       2
 Vardas187          Pavarde187       3       5       8       4       6      10       7       4       1       3       5       9      10       3       1       5
 Vardas188          Pavarde188       7       9       8       3       9       7      10       4       8       4       4       3       7       9       7       9
 Vardas189          Pavarde189      10      10       8       4       8       7       9       9       7       1       4       5       3       9       1       7
 Vardas190          Pavarde190       2      10       2       3       6       9       8       6       1       7       8       3       7      10       6       5
 Vardas191          Pavarde191       9      10       5       8       4       6       9       8       6       7       3       5       3       3       7       7
 Vardas192          Pavarde192       1       5       2      10       5       2      10       2      10       7       7      10       9       8       9       5
 Vardas193          Pavarde193      10       3       5       3      10       6       1       2      10       3       4       7       5      10       5      10
 Vardas194          Pavarde194       9       4       3       9       9       5       8       7       3       3      10       9       8       1       9       4
 Vardas195          Pavarde195       8       1       7       8       2       5       3       6       1       3       2       8       6       8       8       1
 Vardas196          Pavarde196       4       9       1       4       5       4       8       3       4       4       1       3       9       4       6       2
 Vardas197          Pavarde197       1       6       9       4       1       8      10       4       1       5       1       4       6       8       7       5
 Vardas198          Pavarde198       6       8       6       8       1       1       3       5       6       3      10       5       3       7      10       2
 Vardas199          Pavarde199       4      10       3       2       2       5      10       6       8       9       4      10       3       9       4       3
 Vardas200          Pavarde200       4       3       2      10      10       6       3       2       2       9      10       6       4       5       4       5
 Vardas201          Pavarde201       2       1       4      10       9       5       9       5       2       1       7       9      10       5       1       1
 Vardas202          Pavarde202       7       4       8       5       5       3       8       5       9      10       1       8       5       2       1       8
 Vardas203          Pavarde203       9       5       6       5       3      10       8       1       5       5       6       2       8       1      10       3
 Vardas204          Pavarde204       2       8       7      10       6       5       6       3       3      10      10       7       5       1       1       4
 Vardas205          Pavarde205       2       5       6       6       3       1       9       1       1      10       2       4       8       9       2       6
 Vardas206          Pavarde206       5       9       3       5       1       2       7       8       9       6       5       9       6       6       8      10
 Vardas207          Pavarde207       9       1       8       8       3       6       1       4       1      10       7       2       7       3      10       6
 Vardas208          Pavarde208       7       6      10       7       8       5       2       1      10       8       2       3      10       1       6       7
 Vardas209          Pavarde209       3       6       8       6       2       6       9       7       4       7       1       9       1       8       1       2
 Vardas210          Pavarde210       9       5       8       6       6       3      10       4       2       5       2       3       6       7       7       3
 Vardas211          Pavarde211       5       3       3       3       6       3       6       7       3       3       3       4       2       4       4       7
 Vardas212          Pavarde212       9       1       4       6       1       8      10       3       6      10       5       1       5       8       1       3
 Vardas213          Pavarde213       5       4       9       6       6       5       2      10       6       8       6       5       1       4       4       6
 Vardas214          Pavarde214       3       1       1       2       9       8       8       9       6       8       7       5       3       7      10       3
 Vardas215          Pavarde215       2       9       1       3       9       2       8       9       1      10       5       5       7       2       6       6
 Vardas216          Pavarde216       4       1       3       1       6       3       2       9       8       2       9       4       3       4      10      10
 Vardas217          Pavarde217       7       3       1       9       9       8       1       8       3       3       8       7       6       3       3       7
 Vardas218          Pavarde218       7       6       6       2       1       3       1       7       9      10       1       8       8       8       3       4
 Vardas219          Pavarde219      10       3       9      10       3       5       1       8       3       4       7       8       5       3       2      10
 Vardas220          Pavarde220       7       4       4       2       4       1       3       1       1       9       1       4      10       5       7       5
 Vardas221          Pavarde221       4       7      10      10       8       9       4       3       1       3      10       1       5       2       3       7
 Vardas222          Pavarde222       4       7       3       9       5       8       4       6      10       1       4       6       2       1       1       5
 Vardas223          Pavarde223       3       2       6       4      10       7       3       2      10       1       3       1       4       8       8       2
 Vardas224          Pavarde224      10       6       8       5       4       4       9       7      10       4       5       1       3       7      10       7
 Vardas225          Pavarde225       2      10       9       5       9       7       2       4       9       9       5       7       1       5       7       4
 Vardas226          Pavarde226       3       1       4       1       6       2       1       2       2       4      10       4       9       6       8       1
 Vardas227          Pavarde227       6       1       6       3       6       3       7       1       6       3       6       7       3       4       9       2
 Vardas228          Pavarde228       9       2       9       3       6       2       4       8       9       5       7       8       5      10       3       1
 Vardas229          Pavarde229       5       3       9       8       8       1       1       8       2       5       4       4       2       8       9       7
 Vardas230          Pavarde230      10       9       7       2       3       4       7       3       6       3      10       6       2      10       2       5
 Vardas231          Pavarde231      10       6       2       3       4       7       9       1       6       3       1       5       1       7       3       6
 Vardas232          Pavarde232      10       4       9       1       9       8       1       5       3       6       9       9       2       2       9       2
 Vardas233          Pavarde233      10      10       8       4       1       5      10       9       4       9      10       9       7       6       9       7
 Vardas234          Pavarde234       5       8       9       9       8      10       5       8       8       2       8       6       2       9       4       4
 Vardas235          Pavarde235       9       3       5      10       5       5       6       6       3       8       6       3       8       5       5       2
 Vardas236          Pavarde236       3       5       7       9       1       3       1       7       8       1       7       9       8       1      10       1
 Vardas237          Pavarde237       9       6       6       7       4       9       3       5       4       6       9       8       6       6       6      10
 Vardas238          Pavarde238       9       2       8       9       5       1      10       2       8      10       3       7       5       9       1       5
 Vardas239          Pavarde239       6       9       9       3       5       2       1       1       9      10       9       5       8       1       1       5
 Vardas240          Pavarde240       8       5       2       4       5       7       4       4       8       7       5       7       2       2       9       3
 Vardas241          Pavarde241       4       4       6       1       1      10       4       3       7       2       6       1       3      10       1       8
 Vardas242          Pavarde242       5       3       6       4       5       6       5       7       9       2       8       4       9      10       5       1
 Vardas243          Pavarde243       3       7       6       8       6       1       9       6       2       3       4       9       8       5       7       4
 Vardas244          Pavarde244       4       8      10       7       5      10       4       6       8       1       8       9       5       8       7       8
 Vardas245          Pavarde245       7       6       5       4       1       5       6       7       9       3      10       3       9       9       6       2
 Vardas246          Pavarde246       5      10       4       4       1       1       7       6       3      10       7       1       2       4       4      10
 Vardas247          Pavarde247       6       3       8       3       1      10       1       7       1       3       9       6       1       2       1       3
 Vardas248          Pavarde248       7       3       5       4       9       5       2       2       3       1       8       9       5       3       6       2
 Vardas249          Pavarde249       2       4       5       6       6       2      10       6       4       1       1       7       5       3       5       9
 Vardas250          Pavarde250       9       4       3       7       3       6       6       7       5       8       8       2       3       3       1       7
 Vardas251          Pavarde251       5       8      10       5       7       1       4       7       1      10       2       7       9       7       7       3
 Vardas252          Pavarde252       4       5      10       5      10       2       1       4       1       2       2       7       6       4      10       8
 Vardas253          Pavarde253       7       4       2       7       5       6       3       1       4       4       9       5       2       2       5       7
 Vardas254          Pavarde254       2       9       5       1       5       1       9       2       2       7       8       2       7       8       1       6
 Vardas255          Pavarde255       4      10       1       3      10       2       1       3       6       2       2      10       8       8       1       7
 Vardas256          Pavarde256       5       5      10       6       1       6       7       1      10       1       4       8       3       9       8       6
 Vardas257          Pavarde257       7       9       3       6       3       7       3       6      10       6       9       9       2      10       5       8
 Vardas258          Pavarde258       3       3       3      10      10       3       9       2       2      10       4       6       6       9      10       5
 Vardas259          Pavarde259       7       1       8       9       2       2       2       3       2       8       7      10      10       3       8       5
 Vardas260          Pavarde260       6       7       7      10       9       2      10       1       1       6      10       1       3       8       7       3
 Vardas261          Pavarde261       7       2       3       4       6       1       6       9       9       8       8       6       7       1       1       1
 Vardas262          Pavarde262       4       9       3       4       6       3       2      10       3       9       9       2       3       3       3       9
 Vardas263          Pavarde263       5       2       9       6      10       4       7       6      10       8       5       1       4       3       8       9
 Vardas264          Pavarde264       5       9       7      10       8       4       5       1       7       3      10       9      10       2       5      10
 Vardas265          Pavarde265       3       6       4       9       8       7       2       5       9       1       6       3       7       9       7       5
 Vardas266          Pavarde266       7       2       3       4       2       5      10      10       1      10      10       3       9       7      10       3
 Vardas267          Pavarde267       4       4      10       8       1       7       7       3       3      10       5       9       7       9       2       3
 Vardas268          Pavarde268       8       5       3       8       2       4       7       2       4       6       4      10       8      10       8       3
 Vardas269          Pavarde269       1       3       4       1       7      10       8       3       7       5       7       6       5       5       4       8
 Vardas270          Pavarde270       5       4       1       1       3       2      10      10       5       2       2       5       8       5       1       3
 Vardas271          Pavarde271       4       9      10       3       5       7       1       9       7       3       6       2      10       7      10       8
 Vardas272          Pavarde272       9       8       5       3       3       3       4       9       3       2       2      10       6       8       5      10
 Vardas273          Pavarde273       6       9       6       3       8       8       3       3       5       4       9       7       2       9       9       2
 Vardas274          Pavarde274       1       1       9       5       5       8      10       1       2      10       2       8       4       7      10       6
 Vardas275          Pavarde275      10       3       7       8       1       8       1       7       4       8       4      10       9       7       4       5
 Vardas276          Pavarde276       5       1       5       2       2      10       2       1       4       4       1       8       3       8      10      10
 Vardas277          Pavarde277       2       5       9       9       8       9       3       7       3       7       3       1       2       1       2       6
 Vardas278          Pavarde278       3      10       7       8      10       7       2       6       1       4       8       1       7       5       1       4
 Vardas279          Pavarde279       5       4       8       2       5       9       7      10       9       9       9       3       6       6       6       6
 Vardas280          Pavarde280       4       2       9       1       8       7       2       1       9       8       3       8       1       9       5       1
 Vardas281          Pavarde281       8       5       3       4       1       3       7       8       5       8       2       7       1       2       9       7
 Vardas282          Pavarde282       3       3       8       3       9       5       4       3       6       8       6       3       2       4       8       5
 Vardas283          Pavarde283       1       6       9      10       7      10       8       4       7       1       6       4      10       2       6       4
 Vardas284          Pavarde284       9       6       7       4       9       6       5       3       5       1       6       7       2       2       4       9
 Vardas285          Pavarde285       7       4       8       3       6       2       3       9       9       6       5       1       4       3       3       7
 Vardas286          Pavarde286       8       5       2       7       5       2       4       4       7       5       5       4       2       1       8       6
 Vardas287          Pavarde287       3       5       2      10       6       8       6       2       6       6       8       9       7       4       6       1
 Vardas288          Pavarde288       4       5       7       4       6       8       1       2       3       4       3       2       3       1       5       6
 Vardas289          Pavarde289       7       3       3      10       6       8       1       4       1       4       4       3       2       4       7       2
 Vardas290          Pavarde290       5       1       1       4      10       2       4       2       1      10      10       2       7       1       3       2
 Vardas291          Pavarde291       9       8       1       8       9       8       2       4       6       2       1       3      10       9       5       7
 Vardas292          Pavarde292       5       1       8       3       7       4       3       5       3       7       7       1       5      10       4       6
 Vardas293          Pavarde293      10       6       1       1       9       4       5       1       6       4       7      10       9       4       5       7
 Vardas294          Pavarde294       6       5       6       3       4      10       9       6       6       1       9       9       4       6       9       7
 Vardas295          Pavarde295       9       9       2       2       4       6       5       1       8       8       2       2       4       4       5       6
 Vardas296          Pavarde296       6       4       1       7       6       4       3       4       5      10       4       8       8       8       2       3
 Vardas297          Pavarde297       5       5      10       9       7      10       5       9       8       4       7       1       2       5       1       7
 Vardas298          Pavarde298       5       1      10       6       4      10       3       2       7       4       6       7       2       4       1       5
 Vardas299          Pavarde299       2       4       7       1       9       4       5       1       7       1       1      10       1      10       9       8
 Vardas300          Pavarde300       7      10       2       8       8      10       3       9      10       3       9       1       4       2       2       8
 Vardas301          Pavarde301       4       6       9       1       1       2       9      10       9       1       2      10       5       7       8       2
