    Vardas             Pavarde     ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
  Vardas51           Pavarde51       5       9       1       8       2       4       2       3       2       6       5       6       1       2      10       9
  Vardas52           Pavarde52      10       5       7       6       8       4       7       9       5       4       6       1       7      10       6       5
  Vardas53           Pavarde53       6       3       4       3       5       6       6       8       5       1       8       5       9       3       1       1
  Vardas54           Pavarde54       2       6       3       9       1      10      10       4       1      10       3       3       1       9       2       2
  Vardas55           Pavarde55      10      10       8       6       9       6       9       1       7       1       1       2       4       7       6       3
  Vardas56           Pavarde56       6       4       8       2       4       2       1       7       6       7      10       2       6       1       3       1
  Vardas57           Pavarde57       4       1       4      10       6      10       2       5       4       7       1       9       7       8       9       6
  Vardas58           Pavarde58       2      10       2       2       2       4       8       3       1       9       5       9      10       4       1       7
  Vardas59           Pavarde59       1      10      10       8       7       2      10       9      10       9       8       9       1       5       9       1
  Vardas60           Pavarde60       7       6       7      10       6       6       1       6       7       2       4       9       6       4       6       4
  Vardas61           Pavarde61       4       8       4       6       9       8       1       8       7       7       8      10       2       4       1       5
  Vardas62           Pavarde62      10       6       7       3       9       8       1       5      10      10       3       5       8      10       1       7
  Vardas63           Pavarde63       3       2       5       9       9       8       9       2       3       3       3       5       8       2       3       5
  Vardas64           Pavarde64       5       9       8       8       1      10       5       3       9       1       8       8       5       8       6       7
  Vardas65           Pavarde65       4       6       5       3       8       2       7       6       8       1      10       1       2       7       9      10
  Vardas66           Pavarde66       1       8       7      10      10       6      10       2       4       5       7       9       6       4       5       5
  Vardas67           Pavarde67       6       3       2       7       8      10       3       3       4       8       2       3       9       8       9       8
  Vardas68           Pavarde68       7       7       5       4       9       2       9      10      10       4      10      10       5       2       8       2
  Vardas69           Pavarde69       8       7       6       7       9       6       5      10       3       6       7       2       4       3       6       8
  Vardas70           Pavarde70       1       3       4       5       3       3       1       6       4       9      10       4       9       8      10       9
  Vardas71           Pavarde71       5       7       6      10       8       2       5       8      10       6       7       3       8      10       4       8
  Vardas72           Pavarde72       4      10       8       7       1       7       3       6       5       2      10       4       7       6      10       3
  Vardas73           Pavarde73       3       9       7       1       8       9       4      10      10       6       2       9       3       7       7       2
  Vardas74           Pavarde74      10      10       3       1       3       3       8       9       5       3       3       5       7       4       8       1
  Vardas75           Pavarde75       2       1       7       6       3       9       5       7      10       1       3       5       5       5       6       1
  Vardas76           Pavarde76       2       3       8       7       5       4       9      10       8       4       5       4      10       2      10       3
  Vardas77           Pavarde77       4       9       8       3       2       6       8      10       4       1       2       5       3       6       4       4
  Vardas78           Pavarde78       1       1       1       7       1       8       6       3       4       7      10       4       7       7       6       2
  Vardas79           Pavarde79       3       1       2       9       4       6       1       8       4       1       3       8      10       1       9       7
  Vardas80           Pavarde80       5       6       2       8       3       3       5       4       3       2       9      10       2       3       5       4
  Vardas81           Pavarde81       7       5      10       4       3       7       2       9       9       5       3       9       6       1       3       4
  Vardas82           Pavarde82       5       4       1       3       9       4       7       5       9       9       9       6       6       3       6       3
  Vardas83           Pavarde83       7       3       6       9       8       8       8      10       8       4       8       5       2       8       7       8
  Vardas84           Pavarde84       7       1       8       4      10       6       8       6       7       3       7       5       7       4       9       2
  Vardas85           Pavarde85       6       8       2       1       4       6       6      10       6       2       9       7       5       4       3       3
  Vardas86           Pavarde86       2       8       4       2       9       9      10       2       8       8       6       5       2       8       6       2
  Vardas87           Pavarde87       1       2       1       3       3       9      10       2       5       8       4       2       9       3       3       8
  Vardas88           Pavarde88       5       1       8       9       1       6       6       9       3       2       3       9       4       1       5       7
  Vardas89           Pavarde89       8       3       6       8       4       4       6       3       5       4       9       1       9       3       3       6
  Vardas90           Pavarde90       7       6       1       4       6       5       1      10       8       1       3       7       5       4      10       6
  Vardas91           Pavarde91       4       5       1       5       9       3       4       4      10       4       3       6       4       4       6       4
  Vardas92           Pavarde92      10       9       7       5       3      10       3       9       9       3       3       6       3       4       6       5
  Vardas93           Pavarde93       9      10      10       9       3       8       4      10      10       4       5       4      10      10       3       5
  Vardas94           Pavarde94       2       2       4       1       6       7       4       8       7       4       8       3       9       1      10       7
  Vardas95           Pavarde95       1       6       5       7       5       9       5       3       3       8       5      10      10       8       6       4
  Vardas96           Pavarde96       8       5       7       9       6       4      10      10       5       2       8       6       5       2       2       6
  Vardas97           Pavarde97       4       7       5       9       3       4      10       2      10       1       6       9       1       8       5       8
  Vardas98           Pavarde98       5       8       6       2       8       5       5       4      10       3       9      10       5       9       4       1
  Vardas99           Pavarde99       7       3       9       2       6       7       7       7       2       2       1      10       9       4       6       5
 Vardas100          Pavarde100       2       2       5       7       6       4       8      10      10       5       7       9       1       6       7       7
 Vardas101          Pavarde101       6       3      10       5       4       9      10      10       6       5       5       8       2       2       8       8
 Vardas102          Pavarde102       1       5       5      10       9       9       2       4       8       3       1       8       8       5       7       7
 Vardas103          Pavarde103       1       1       5       1       2       6       8       6       8       5       6       2       9       2       7       1
 Vardas104          Pavarde104       9       1       2       2       9       7       7       9       7       5       9       9       7       2       2       8
 Vardas105          Pavarde105       5       4       8       9       9       1       7       4       1      10       7       5       3       8       1      10
 Vardas106          Pavarde106       1       3       5       3       5       6       9       7       7       3       1       5       8       5       9       8
 Vardas107          Pavarde107       9       5       7       8       4       7       3      10       8       4       8      10       1       4       9       2
 Vardas108          Pavarde108       9       6       2       8       2       8       3       7       3       9       4       7       7       2       2       4
 Vardas109          Pavarde109       3       2       4       5       7       8       1      10       3       9       3       3       1       1      10       6
 Vardas110          Pavarde110       5       9       5       7       2       5       9      10       3       7       9       2       2       6       2       3
 Vardas111          Pavarde111       6       9       3       2       6       8       7       5      10       7       9       3       2       5       2       6
 Vardas112          Pavarde112       2       7       9       7       4       3       5       5       1       1       2       5       2       3       5       6
 Vardas113          Pavarde113       9       3       5       2       1       7       8       3       8       8       2       3       1       7       7       2
 Vardas114          Pavarde114       9       4       8       7       1       4       6       9       4       9       7       8       9       4       5       2
 Vardas115          Pavarde115       8       3       1       9      10       1       2       3       2       7       4       2       2       8      10       7
 Vardas116          Pavarde116       6       8      10       7       5       8       4       1       6      10       1       2       9       8       7       8
 Vardas117          Pavarde117       4       5       4      10       9       5       1       9       2       4       7       9      10       2       5       3
 Vardas118          Pavarde118       2       6       6      10       7       4       7       6       1      10       8       2       3       6       5       5
 Vardas119          Pavarde119       5       2       8       9       1       5       8       1       7      10       2       5       9       3      10       1
 Vardas120          Pavarde120      10       8       4       4       6      10       2       8       3       5       4       5      10       1       7       4
 Vardas121          Pavarde121       8       6       7       6       3       8       9       7      10       6       6       3       4       9       1       4
 Vardas122          Pavarde122       5       5      10      10       6       2       1       2       5       5       5       1       6       9       6       4
 Vardas123          Pavarde123       8       9       2       5       2      10       8       7       7       4       1       5       5       8       9       9
 Vardas124          Pavarde124       5       4       9       8       1       6       3       3      10       6       6      10       5       7       1       9
 Vardas125          Pavarde125       3       7       8       5       4       6      10      10       1       4       1      10       9       9       3       7
 Vardas126          Pavarde126       2       3       8       5       6       6       8      10       1       2       4       8       2      10       6      10
 Vardas127          Pavarde127      10       2       2       8       7       4       1       1       9      10       9       8       5       2       1       3
 Vardas128          Pavarde128       9       4       5       8       8      10       6       8       6       3       9       1       5      10       7      10
 Vardas129          Pavarde129      10       2       4       8       4       7       3       5       7       2       3       1       3       1       9      10
 Vardas130          Pavarde130       3       8       6       2       6       2       8       6       9       9       5       6       2       6       4       4
 Vardas131          Pavarde131       1       6       2       1       4       1       7       2       4       7       5      10      10      10       5       6
 Vardas132          Pavarde132       3       1       1       2       1      10       6       1       1       8       2       9       1       4       3       7
 Vardas133          Pavarde133       7       4      10       6       2       5       5       1       9       1       2      10       1       5       2       2
 Vardas134          Pavarde134       1       8       2       4       1       6       8       6       1       5       3       1       3       4       1       2
 Vardas135          Pavarde135      10       7       4       6       6       7       4       7       6       4       8       9       9       2       4       8
 Vardas136          Pavarde136       4       7       3       7       2       1       9       6       7       2       4       6       1       4       5       8
 Vardas137          Pavarde137       4       8      10      10       8      10       3       1       9      10       1       7       2       3       5       4
 Vardas138          Pavarde138       9       5      10       7       7       9       8       7       2       5       7       6       1       8       7       2
 Vardas139          Pavarde139       3       1       2       7      10       4       7       6       9       7       4       5       2       6       4       1
 Vardas140          Pavarde140       4       4       4       4       9       8       1       8       3      10       5       2       5       1       1       1
 Vardas141          Pavarde141       7       4       9       7       6       5       6       2       7       5       7       9      10       3      10       4
 Vardas142          Pavarde142       5       6      10       9       4       6       8       2       4       9       3       5       5       9       9       9
 Vardas143          Pavarde143      10       3       6       2      10       1       5       8       6       8       2       8       5       9       5       1
 Vardas144          Pavarde144       9       6       1       9       3       9       3      10       8       8       5       3       6       3      10       3
 Vardas145          Pavarde145      10       8       3       5       8       4       1       2       5       2       2       5       3      10       3      10
 Vardas146          Pavarde146       3       4       5       5       7       1       8       1       8       1       5       4       4      10       1       8
 Vardas147          Pavarde147       1      10       4       8       8       8       6       3       4       5      10       9       9       9       7       4
 Vardas148          Pavarde148       2       1       1       4       2      10       6       3       2       3      10       5       1       4       4       3
 Vardas149          Pavarde149       9       3       6       8       8       9       8       5       3       5       8       1       6       1       5       5
 Vardas150          Pavarde150       8       5       1       2       4       5       2       7       6       6       6       4       4       9       9       5
 Vardas151          Pavarde151       8       6       1       6       5       4       2       5       1       7      10       6       2       8       1       4
 Vardas152          Pavarde152       9       5       7       3       6       6       2       5       5       6       5       4       4       7       6       2
 Vardas153          Pavarde153       1       1       3       5       4       1       2      10       5       5       5       7       8       6       3       6
 Vardas154          Pavarde154       7       1       6       4       2       5       6       4       5       5       7       2       3       4       7       5
 Vardas155          Pavarde155       5       1       5       6       4       2       6      10       5       3       3       4       7       8      10       4
 Vardas156          Pavarde156       2       9       4       7       8       6       4       4       8       7       5       9       1       5       9       2
 Vardas157          Pavarde157       1       6       1       2       3       5       3      10       8       7       4       8       3       8       7       3
 Vardas158          Pavarde158       2       1       7       7      10       1       5       2      10       8      10      10       7       9       9       4
 Vardas159          Pavarde159       5       6       5      10       6       6       2      10       9       1       4       9       7       1       2       6
 Vardas160          Pavarde160       7       3       3       5       3      10       8       5       2       6       2       2       6       4       5       7
 Vardas161          Pavarde161       1       2       4       2       9       1      10       3       8       8       6       6      10       5       1       4
 Vardas162          Pavarde162       7       4       9      10       1       9       9       8      10       1       7       2       9       3       1       6
 Vardas163          Pavarde163       2      10       8       3       8       2       8       7       8       1       8       5       4       1       4       1
 Vardas164          Pavarde164       8       3      10       3       3      10       4       4       3       3       5       6       7       8       6      10
 Vardas165          Pavarde165       1       1       6       4       9       1       5       3       2      10      10       4       1       1       2       2
 Vardas166          Pavarde166       5       8       8       6       6       3       9       9       2       5       9       5      10       3       6       2
 Vardas167          Pavarde167       8       4       4       6       1       7      10      10      10       2       2       9       8       1       9       1
 Vardas168          Pavarde168       9       6       9       2       7       1       7       6       6       1       4       2       4       2       3       5
 Vardas169          Pavarde169       4       7       4       8       6      10       4       1       4       5      10       5       8       3       9       2
 Vardas170          Pavarde170       5       7       1       3       8       6       2       3       5       5       1      10       4       6      10       1
 Vardas171          Pavarde171       6       1       5       1      10       2       8       7       5       3       7       4       6       6       3       6
 Vardas172          Pavarde172       5       9       3       1       3       8       4       3       5       5       5      10       1       9       3       5
 Vardas173          Pavarde173       6       3       3       2      10       9       8       9       2       6       2       1       2       2       8       8
 Vardas174          Pavarde174       9       6       6       3       2       9       6       6       5       9       1       1       6       4       9       4
 Vardas175          Pavarde175       9      10       3       1       7       3       4       7       4      10       2       9       8       6       6       4
 Vardas176          Pavarde176      10      10       6       4       5       5       1       1       4       1       4       4       3       3      10       1
 Vardas177          Pavarde177       6       5       5       9       3       8       2       8       2       1       1       4       6       1       1       4
 Vardas178          Pavarde178       1       8       5       7       4      10       3       7       9       5       5       5       2       1       8       3
 Vardas179          Pavarde179       1       2       5       8       7       6       9       8       2       8       1       4       3       5      10       9
 Vardas180          Pavarde180       7       4       3       5       1       2       4      10       2       4       3       3       5      10       4       9
 Vardas181          Pavarde181       5       2      10       6       5       2       7       7      10       7       5       3      10       8       5       5
 Vardas182          Pavarde182      10       9       2       8       2      10       9       5       6       4      10       2       2       8       8       6
 Vardas183          Pavarde183       5       9       8       2       2       5       2       8       9       9       5       9      10       6       2       9
 Vardas184          Pavarde184       2       2       7       8       7       4       2       8      10       7       6       9       3       3       4       9
 Vardas185          Pavarde185       9       9       9       5       7       3       5      10       2       9       7       1       6       3       9       6
 Vardas186          Pavarde186       1       3       3       4       5       3       7       4       2       7       2      10       4       5       7       5
 Vardas187          Pavarde187       3       2       8       9       6       5       5      10       3       7       2       6       8       3       9       1
 Vardas188          Pavarde188       9       5      10       4       7       5      10       5       6       8       2       6       1       5       4       8
 Vardas189          Pavarde189       6      10       9       2       2       5      10       7       5       3       6       9       6       8       1       9
 Vardas190          Pavarde190       2       5       4       7       4       3       4       4       7       8       4      10       4       7       9       1
 Vardas191          Pavarde191       9       9       6       7       2       3       4       9       5      10      10       4       4       7       9       1
 Vardas192          Pavarde192       4       6       8      10       8       4       7       2       2       1       9       4       6       2       2       6
 Vardas193          Pavarde193       1       7       4      10       9       5       4       9       3       7       2       4      10       4       9       2
 Vardas194          Pavarde194       7       7       4       9       5       6       1      10       4       9       5       9       2       2       9       5
 Vardas195          Pavarde195       6       2       9       2       3      10       6       4       2       6       6       4       1       3       3      10
 Vardas196          Pavarde196       7       8       6       6      10       6       4       9       5       2       8       5       1       8       6       8
 Vardas197          Pavarde197       6       4      10       5       6       2       4       9       4       6       9       3       2      10       2       6
 Vardas198          Pavarde198       9      10       3      10       6       8       2       5       3       3       5       7       3       4       2       5
 Vardas199          Pavarde199       7       4       1       3       3       4       6       5       4       1       1       6       4       1      10       8
 Vardas200          Pavarde200       6       1       5       9       5       7       4       7      10       4       7       9       2       9       4       7
 Vardas201          Pavarde201       4       6       2       4       9       4       9       5       3       7       4       9       1       8       1       6
 Vardas202          Pavarde202       9       1       7      10       4       3       3       9       3       3       2       4       9       5      10       7
 Vardas203          Pavarde203       5       4       2       4       6       7       8      10       5      10       1       1       5       9       6       7
 Vardas204          Pavarde204       2       8       1      10      10       1      10       3      10       6       8       9       7       5       2       4
 Vardas205          Pavarde205       2       2       7       8       5       5       3       1       1       8       9       2       9       7      10       8
 Vardas206          Pavarde206       7       8       3       1       5       6       9       6       9       1       3       8       3       7       4       6
 Vardas207          Pavarde207       1       2       2       7       5       8      10       7       2       7       6       8       2       4       7       3
 Vardas208          Pavarde208       3       1       6       3       6       9      10       9      10       8       9       7       7       4       7       4
 Vardas209          Pavarde209       1       1       5       2       8       7       7       8       6       3       8       4       8       9       3       6
 Vardas210          Pavarde210       7       5       6       4       8       5      10      10       8       1       3       9       5       8       2       5
 Vardas211          Pavarde211       2      10       4       5       3       5       3       9       5       4       1       9       4       5       7       2
 Vardas212          Pavarde212       2       5       5      10       9       4       1       3       9       1       8       4       1       6       7       2
 Vardas213          Pavarde213       6       1       6       3       7       2       7       7       1       9       7       2       1       2       1       5
 Vardas214          Pavarde214      10       9       2      10       8       1       5       1       1       4       2       5       1       5       2       6
 Vardas215          Pavarde215       9       9       9       9       2       1       7       9       1       8       9       2       9      10       7       2
 Vardas216          Pavarde216       3       6       3       7       6      10       7      10       6       6       7       3       1       2       9       7
 Vardas217          Pavarde217       2      10       3       4       4       4       5       8       9       2       8       7       5       9       1       8
 Vardas218          Pavarde218       7       9      10       1       3      10       4       3       1       5       2       5       3       4      10       8
 Vardas219          Pavarde219       4       8       4       1       8       7       5       9       9      10       2       1       8       5       8       8
 Vardas220          Pavarde220       8       2       2       7       9       7       8       4       3       9       3      10       3       9       2       5
 Vardas221          Pavarde221       2       5       1       4       7       4       3       5       8      10       3       1       8       9       5       7
 Vardas222          Pavarde222       2       7       4       5       1       4       4       5      10       2       6       9       3       4       8       9
 Vardas223          Pavarde223       4       1       5       6       2       7       6       6       6       6       7       1       8       1       8       8
 Vardas224          Pavarde224       7      10       4       3       4       9       9       1       7       6       8       5       6       7      10       8
 Vardas225          Pavarde225       6       6       4       9       2       2       3       5      10       1       3       8       4       5       5       2
 Vardas226          Pavarde226       3       9      10       5       9       9       8       5       1       3       7       3       5      10       2       5
 Vardas227          Pavarde227       5       6       2       2       1       5       8       2       9       8       2       9       9       3       2       1
 Vardas228          Pavarde228       8       7       7       8       5       6       7       5      10       2       8       3       1       5       3       1
 Vardas229          Pavarde229       6       4       2       1       5       4       1       5       7       5       6       9       2       5       8       2
 Vardas230          Pavarde230       7       8       6       4       2       5       1       3       5       9       3       2       2       8       7       5
 Vardas231          Pavarde231       7       6      10       3       5      10       3       1       3       1       3       9       1       1       9       9
 Vardas232          Pavarde232       1      10       2       6       6       6       8      10      10       1       8       8       4       3       8       2
 Vardas233          Pavarde233       1      10       4       3      10       3       8       1       2       6       7       9       9       9       5       8
 Vardas234          Pavarde234       1       3       8       8      10      10       6       2       6       1      10       1       4       8       7       8
 Vardas235          Pavarde235       1       8       7       3       8       2       4       6       1       8       3       6       1       1       1       4
 Vardas236          Pavarde236       5       5       6       9       3       3      10       4      10       9       1       1       1       9      10       2
 Vardas237          Pavarde237       3      10       9       9       4       8       6       7      10       5       1      10       7       7      10       6
 Vardas238          Pavarde238       1       2       2       2       7       3       8       1       4       3       9      10       6       2      10       5
 Vardas239          Pavarde239       8       8       4      10       3       1       8       4       9       7       7       6       7       6       8      10
 Vardas240          Pavarde240      10       2      10       4       9      10      10      10       7       4       1       5       7       4       9       8
 Vardas241          Pavarde241       1       6       9       2       3       3       9       4       1       1       4       2       9       4       5       8
 Vardas242          Pavarde242       5       5       3       4       4       2       9       8       6       7       1       5      10       1       5       7
 Vardas243          Pavarde243       2       3       3       2       5       9       7       6       7       5       4       3       3       6      10       5
 Vardas244          Pavarde244       5       3       8       1       2       4       1       4       1       6       7       9       7       5       1       4
 Vardas245          Pavarde245       6       2       4       1       6      10       2       2       8      10       4       4       5       7       7       3
 Vardas246          Pavarde246       8       1       9       8       6       6       8       3      10       6       8       1      10       8       3       5
 Vardas247          Pavarde247      10       5       6       6       6      10       9       6       4       2       1       7       3       7       2       5
 Vardas248          Pavarde248       7       1       4       5       2       7       3       9       6       3       8      10       7       2       5       4
 Vardas249          Pavarde249       8       1       3       6       2       2       4       3       7       8       2       5       5       6       9       8
 Vardas250          Pavarde250       9       1       6       3       9       3       6       9      10       5       4       5       6       3       2      10
 Vardas251          Pavarde251       8       4       1       8      10      10       9       6       7       8       9       6       9       1       3       7
 Vardas252          Pavarde252      10       9       3       8       8       3       2       4       7      10      10       1       1       7       3       5
 Vardas253          Pavarde253       9       6       7       7       3       2       1       1       8      10       8       7       7       4       1       7
 Vardas254          Pavarde254      10       3       1      10       1       3       7       5      10       2       8       3       4       1       4       2
 Vardas255          Pavarde255       4       3       2       6       2       4       4       4       4       1       3       2       7      10       1       9
 Vardas256          Pavarde256       8       7       8       6       9       9       7       9       7       1       9       2       6       5       9       3
 Vardas257          Pavarde257      10       2       6       3       1      10       4       2       3       6       6       4       3       9       9       6
 Vardas258          Pavarde258       5       9       9       1       1       4       3       1      10       5       5       7       6       9       8       2
 Vardas259          Pavarde259      10       1       7       7       1       6       6       1       7       9       5       6      10       8       3       8
 Vardas260          Pavarde260       5       8       3       9       7      10       9       2       4       5       7      10       7       9       7       7
 Vardas261          Pavarde261      10       9       9       3       4       1       6       2      10       1       4       9       3       1       8       6
 Vardas262          Pavarde262       8       6       8       6       3       4       5       1       4       1       3       6       3       3       3       8
 Vardas263          Pavarde263      10       8       7      10       5       3       3       2       3       2       8       6       4       8       4       6
 Vardas264          Pavarde264       6       2       2       5       1       4      10       7       8      10       1       8       8       3       5       4
 Vardas265          Pavarde265       9       3       8       9       7       3       1       8       5      10       4       5       4       3       7       3
 Vardas266          Pavarde266       3       6       1       6       5       1       9       4       3       9       8       7       9       3       1       4
 Vardas267          Pavarde267       4       6       8       7       5       8       8       7       1       1       6       5      10       5      10       9
 Vardas268          Pavarde268       6       5       8       2       7       3       2       1       2      10       6       4       3       3       9       5
 Vardas269          Pavarde269       9       5       1       7       7       4       1       7       5       1       4       4      10       6       4       2
 Vardas270          Pavarde270      10       6      10       4       7       6       5       1       1       5       9       2       7       2       9       1
 Vardas271          Pavarde271       9       8       7       3       3       7      10       7       9      10       1       1       5       7       7       5
 Vardas272          Pavarde272       9       7       5       9       9      10       8       5       3       3       2       6       1       2       8       7
 Vardas273          Pavarde273       1       3       9       2       9       3      10       5       2       8       9      10       7       9       1       6
 Vardas274          Pavarde274       3       7       5       8       3       3       5       2       1       5       1       8       7       8       7       8
 Vardas275          Pavarde275       5       1      10       8       7       2       1       8       5       1      10       6       9       2       1       6
 Vardas276          Pavarde276       6      10      10       4       5       4       7       9       1       7       8       1       5       5       6       5
 Vardas277          Pavarde277       3       4       3       8       9       5       9       4       8      10       5       6       4      10       3       1
 Vardas278          Pavarde278       3       6       7      10       1       9       3       1       2       4       4       5       7       7       7       3
 Vardas279          Pavarde279       6       8      10       4       4       2       7      10      10       3      10       9      10       9       9       8
 Vardas280          Pavarde280       8       6       2       6       7       7       3       6       7       8       7       2       1       6       6       4
 Vardas281          Pavarde281       9       6       3      10       1       9       3       7       8       3       7       2       8       3       9       1
